"""Africa, x""","""Africa, y""","""Africa, text""","""Africa, size""","""Americas, x""","""Americas, y""","""Americas, text""","""Americas, size""","""Asia, x""","""Asia, y""","""Asia, text""","""Asia, size""","""Europe, x""","""Europe, y""","""Europe, text""","""Europe, size""","""Oceania, x""","""Oceania, y""","""Oceania, text""","""Oceania, size"""
6223.367465,72.301,Country: Algeria<br>Life Expectancy: 72.301<br>GDP per capita: 6223.367465<br>Population: 33333216.0<br>Year: 2007,29.8107466028,12779.37964,75.32,Country: Argentina<br>Life Expectancy: 75.32<br>GDP per capita: 12779.37964<br>Population: 40301927.0<br>Year: 2007,21.949769885,974.5803384,43.828,Country: Afghanistan<br>Life Expectancy: 43.828<br>GDP per capita: 974.5803384<br>Population: 31889923.0<br>Year: 2007,9.33056120774,5937.029526,76.423,Country: Albania<br>Life Expectancy: 76.423<br>GDP per capita: 5937.029526<br>Population: 3600523.0<br>Year: 2007,12.5420294027,34435.36744,81.235,Country: Australia<br>Life Expectancy: 81.235<br>GDP per capita: 34435.36744<br>Population: 20434176.0<br>Year: 2007,60
4797.231267,42.731,Country: Angola<br>Life Expectancy: 42.731<br>GDP per capita: 4797.231267<br>Population: 12420476.0<br>Year: 2007,18.1971495671,3822.137084,65.554,Country: Bolivia<br>Life Expectancy: 65.554<br>GDP per capita: 3822.137084<br>Population: 9119152.0<br>Year: 2007,10.4410528224,29796.04834,75.635,Country: Bahrain<br>Life Expectancy: 75.635<br>GDP per capita: 29796.04834<br>Population: 708573.0<br>Year: 2007,1.39082769703,36126.4927,79.829,Country: Austria<br>Life Expectancy: 79.829<br>GDP per capita: 36126.4927<br>Population: 8199783.0<br>Year: 2007,18.9271925133,25185.00911,80.204,Country: New Zealand<br>Life Expectancy: 80.204<br>GDP per capita: 25185.00911<br>Population: 4115771.0<br>Year: 2007,26.9276396546
1441.284873,56.728,Country: Benin<br>Life Expectancy: 56.728<br>GDP per capita: 1441.284873<br>Population: 8078314.0<br>Year: 2007,14.6755575444,9065.800825,72.39,Country: Brazil<br>Life Expectancy: 72.39<br>GDP per capita: 9065.800825<br>Population: 190010647.0<br>Year: 2007,47.6602190373,1391.253792,64.062,Country: Bangladesh<br>Life Expectancy: 64.062<br>GDP per capita: 1391.253792<br>Population: 150448339.0<br>Year: 2007,20.2663122422,33692.60508,79.441,Country: Belgium<br>Life Expectancy: 79.441<br>GDP per capita: 33692.60508<br>Population: 10392226.0<br>Year: 2007,21.3078343176,,,,
12569.85177,50.728,Country: Botswana<br>Life Expectancy: 50.728<br>GDP per capita: 12569.85177<br>Population: 1639131.0<br>Year: 2007,6.61060300435,36319.23501,80.653,Country: Canada<br>Life Expectancy: 80.653<br>GDP per capita: 36319.23501<br>Population: 33390141.0<br>Year: 2007,19.9791124869,1713.778686,59.723,Country: Cambodia<br>Life Expectancy: 59.723<br>GDP per capita: 1713.778686<br>Population: 14131858.0<br>Year: 2007,6.21127364894,7446.298803,74.852,Country: Bosnia and Herzegovina<br>Life Expectancy: 74.852<br>GDP per capita: 7446.298803<br>Population: 4552198.0<br>Year: 2007,14.1024832195,,,,
1217.032994,52.295,Country: Burkina Faso<br>Life Expectancy: 52.295<br>GDP per capita: 1217.032994<br>Population: 14326203.0<br>Year: 2007,19.5433853355,13171.63885,78.553,Country: Chile<br>Life Expectancy: 78.553<br>GDP per capita: 13171.63885<br>Population: 16284741.0<br>Year: 2007,13.9526754858,4959.114854,72.961,Country: China<br>Life Expectancy: 72.961<br>GDP per capita: 4959.114854<br>Population: 1318683096.0<br>Year: 2007,60,10680.79282,73.005,Country: Bulgaria<br>Life Expectancy: 73.005<br>GDP per capita: 10680.79282<br>Population: 7322858.0<br>Year: 2007,17.8864983226,,,,
430.0706916,49.58,Country: Burundi<br>Life Expectancy: 49.58<br>GDP per capita: 430.0706916<br>Population: 8390505.0<br>Year: 2007,14.9564421309,7006.580419,72.889,Country: Colombia<br>Life Expectancy: 72.889<br>GDP per capita: 7006.580419<br>Population: 44227550.0<br>Year: 2007,22.9939459752,39724.97867,82.208,"""Country: Hong Kong, China<br>Life Expectancy: 82.208<br>GDP per capita: 39724.97867<br>Population: 6980412.0<br>Year: 2007""",4.36537502119,14619.22272,75.748,Country: Croatia<br>Life Expectancy: 75.748<br>GDP per capita: 14619.22272<br>Population: 4493312.0<br>Year: 2007,14.0109733684,,,,
2042.09524,50.43,Country: Cameroon<br>Life Expectancy: 50.43<br>GDP per capita: 2042.09524<br>Population: 17696293.0<br>Year: 2007,21.7207789006,9645.06142,78.782,Country: Costa Rica<br>Life Expectancy: 78.782<br>GDP per capita: 9645.06142<br>Population: 4133884.0<br>Year: 2007,7.02985243052,2452.210407,64.698,Country: India<br>Life Expectancy: 64.698<br>GDP per capita: 2452.210407<br>Population: 1110396331.0<br>Year: 2007,55.0579503609,22833.30851,76.486,Country: Czech Republic<br>Life Expectancy: 76.486<br>GDP per capita: 22833.30851<br>Population: 10228744.0<br>Year: 2007,21.1395712388,,,,
706.016537,44.741,Country: Central African Republic<br>Life Expectancy: 44.741<br>GDP per capita: 706.016537<br>Population: 4369038.0<br>Year: 2007,10.7926266987,8948.102923,78.273,Country: Cuba<br>Life Expectancy: 78.273<br>GDP per capita: 8948.102923<br>Population: 11416987.0<br>Year: 2007,11.6826890851,3540.651564,70.65,Country: Indonesia<br>Life Expectancy: 70.65<br>GDP per capita: 3540.651564<br>Population: 223547000.0<br>Year: 2007,24.7038962,35278.41874,78.332,Country: Denmark<br>Life Expectancy: 78.332<br>GDP per capita: 35278.41874<br>Population: 5468120.0<br>Year: 2007,15.4562466007,,,,
1704.063724,50.651,Country: Chad<br>Life Expectancy: 50.651<br>GDP per capita: 1704.063724<br>Population: 10238807.0<br>Year: 2007,16.5218594384,6025.374752,72.235,Country: Dominican Republic<br>Life Expectancy: 72.235<br>GDP per capita: 6025.374752<br>Population: 9319622.0<br>Year: 2007,10.5551938701,11605.71449,70.964,Country: Iran<br>Life Expectancy: 70.964<br>GDP per capita: 11605.71449<br>Population: 69453570.0<br>Year: 2007,13.7698217326,33207.0844,79.313,Country: Finland<br>Life Expectancy: 79.313<br>GDP per capita: 33207.0844<br>Population: 5238460.0<br>Year: 2007,15.1281853155,,,,
986.1478792,65.152,Country: Comoros<br>Life Expectancy: 65.152<br>GDP per capita: 986.1478792<br>Population: 710960.0<br>Year: 2007,4.35368324284,6873.262326,74.994,Country: Ecuador<br>Life Expectancy: 74.994<br>GDP per capita: 6873.262326<br>Population: 13755680.0<br>Year: 2007,12.823544927,4471.061906,59.545,Country: Iraq<br>Life Expectancy: 59.545<br>GDP per capita: 4471.061906<br>Population: 27499638.0<br>Year: 2007,8.66452021496,30470.0167,80.657,Country: France<br>Life Expectancy: 80.657<br>GDP per capita: 30470.0167<br>Population: 61083916.0<br>Year: 2007,51.6592926715,,,,
